isogroup66386_c0_g1	 Ragulator complex protein LAMTOR5
isogroup45248_c0_g1	dnj-20 homolog, subfamily B, member 11
isogroup45252_c0_g1	INTU regulation of smoothened signaling pathway
isogroup45217_c0_g2	EIF4A3 Belongs to the DEAD box helicase family
isogroup45227_c0_g1	SACM1L phosphatidylinositol-4-phosphate phosphatase activity
isogroup45285_c0_g1	EXOC4 Exocyst complex component
isogroup45219_c0_g1	 Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
isogroup45230_c0_g1	 ethanolamine-phosphate phospho-lyase activity
isogroup45218_c0_g1	DCLK2 Doublecortin-like kinase 2
isogroup17218_c1_g2	eef2 translation elongation factor activity
isogroup17218_c1_g1	eef2 translation elongation factor activity
isogroup17218_c0_g1	eef2 translation elongation factor activity
isogroup17218_c0_g2	eef2 Elongation factor
isogroup17278_c0_g1	PLBD1 lipid catabolic process
isogroup17258_c0_g2	 Zinc finger protein 862-like
isogroup17268_c0_g2	HDLBP RNA binding
isogroup17245_c1_g1	DNAH8 ATP-dependent microtubule motor activity, minus-end-directed
isogroup17245_c0_g1	DNAH8 ATP-dependent microtubule motor activity, minus-end-directed
isogroup17245_c0_g3	DNAH8 ATP-dependent microtubule motor activity, minus-end-directed
isogroup17261_c0_g1	 Collagen triple helix
isogroup17236_c0_g1	SLC45A2 Membrane-associated transporter protein
isogroup17236_c0_g2	SLC45A2 oligosaccharide transmembrane transporter activity
isogroup17236_c0_g3	 sucrose transmembrane transporter activity
isogroup17206_c0_g1	 DNA integration
isogroup17273_c0_g1	trf-1 activation of NF-kappaB-inducing kinase activity
isogroup17202_c0_g1	SECISBP2L selenocysteine insertion sequence binding
isogroup17276_c0_g1	TRAIP negative regulation of interferon-beta production
isogroup17288_c0_g1	RAE1 RAE1 RNA export 1 homolog (S. pombe)
isogroup17239_c0_g1	YBX2 CRD-mediated mRNA stabilization
isogroup17286_c0_g7	TAX1BP1 apoptotic process
isogroup17286_c0_g1	TAX1BP1 apoptotic process
isogroup17281_c0_g1	PABPC4 negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
isogroup17269_c0_g1	PSMA2 proteasome subunit alpha
isogroup17298_c0_g1	DNAH8 ATP-dependent microtubule motor activity, minus-end-directed
isogroup17231_c0_g1	TST Thiosulfate sulfurtransferase
isogroup17244_c0_g1	FITM2 lipid droplet organization
isogroup17242_c0_g2	 BPTI/Kunitz family of serine protease inhibitors.
isogroup17216_c0_g1	Fer3HCH Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation
isogroup17210_c0_g2	 protein tyrosine phosphatase activity
isogroup17247_c0_g1	EIF4EBP3 eukaryotic initiation factor 4E binding
isogroup17248_c0_g1	 Lysophosphatidylcholine acyltransferase
isogroup17219_c0_g1	 Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
isogroup17243_c0_g1	SRSF6 Serine arginine-rich splicing factor
isogroup57117_c0_g1	MTCH2 Belongs to the mitochondrial carrier (TC 2.A.29) family
isogroup57115_c0_g1	 NADH dehydrogenase (ubiquinone) activity. It is involved in the biological process described with ATP synthesis coupled electron transport
isogroup57177_c0_g1	MAN2B1 carbohydrate binding. It is involved in the biological process described with mannose metabolic process
isogroup57138_c0_g1	CTSZ Belongs to the peptidase C1 family
isogroup62895_c0_g1	CERS1 sphingosine N-acyltransferase activity
isogroup62810_c0_g1	AQP3 glycerol channel activity
isogroup62860_c0_g1	BCCIP May promote cell cycle arrest by enhancing the inhibition of CDK2 activity by CDKN1A. May be required for repair of DNA damage by homologous recombination in conjunction with BRCA2. May not be involved in non-homologous end joining (NHEJ)
isogroup62862_c0_g1	CFAP20 Cilia and flagella associated protein 20
isogroup62817_c0_g1	CTPS2 'de novo' CTP biosynthetic process
isogroup62888_c0_g1	FARSB phenylalanyl-tRNA aminoacylation
isogroup62804_c0_g1	 Belongs to the yippee family
isogroup62847_c0_g1	TUBGCP2 microtubule nucleation by interphase microtubule organizing center
isogroup62869_c0_g1	 LUC7 N_terminus
isogroup62877_c0_g1	Nlrp10 NACHT domain
isogroup62850_c0_g1	ACAT1 acetyl-CoA C-acetyltransferase activity
isogroup38436_c0_g1	 Ring finger domain
isogroup38461_c0_g1	SNRNP200 helicase activity
isogroup38428_c0_g1	DYNLT1 intracellular protein transport in other organism involved in symbiotic interaction
isogroup38460_c0_g1	NELFA negative regulation of transcription elongation from RNA polymerase II promoter
isogroup38489_c0_g1	 nicotinamide riboside catabolic process
isogroup38488_c0_g1	DNAH6 ATP-dependent microtubule motor activity, minus-end-directed
isogroup38490_c0_g1	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup38491_c0_g1	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup38484_c0_g1	 carbohydrate binding
isogroup38473_c0_g1	TBCD post-chaperonin tubulin folding pathway
isogroup38453_c1_g1	ATP6V1A V-type proton ATPase catalytic subunit
isogroup38453_c0_g1	ATP6V1A V-type proton ATPase catalytic subunit
isogroup38453_c0_g2	ATP6V1A V-type proton ATPase catalytic subunit
isogroup38459_c0_g1	RANBP1 positive regulation of mitotic centrosome separation
isogroup38457_c0_g1	BRIX1 Ribosome biogenesis protein BRX1 homolog
isogroup38478_c0_g1	SLC15A4 histidine transport
isogroup38452_c0_g1	FBXL20 modulation by host of viral RNA genome replication
isogroup71293_c0_g1	GARS glycyl-tRNA aminoacylation
isogroup71278_c0_g3	RAD21 rad21 homolog
isogroup71213_c0_g1	 TRAM, LAG1 and CLN8 homology domains.
isogroup71209_c0_g1	VAV2 Rho guanyl-nucleotide exchange factor activity
isogroup71226_c0_g1	ccdc147 
isogroup71271_c0_g1	 protein depalmitoleylation
isogroup71252_c0_g1	PSMD2 regulation of protein catabolic process
isogroup61148_c0_g1	WDR81 aggrephagy
isogroup61161_c0_g1	 Guanylate kinase 1b
isogroup61114_c0_g1	GSPT1 regulation of response to stimulus
isogroup61178_c0_g1	HERC1 HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
isogroup61157_c0_g1	RpS27A ubiquitin
isogroup61121_c0_g1	 integrin
isogroup61180_c0_g1	GARNL3 Rap Ran-GAP domain-like
isogroup61173_c0_g1	 phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity
isogroup61117_c0_g1	 dolichyl-diphosphooligosaccharide-protein glycotransferase activity
isogroup61135_c0_g2	B3GAT1 Belongs to the glycosyltransferase 43 family
isogroup61154_c0_g1	MAP3K4 male germ-line sex determination
isogroup61193_c0_g1	 DNA replication licensing factor MCM6
isogroup61187_c0_g1	TP53I3 Zinc-binding dehydrogenase
isogroup11404_c0_g2	AP5Z1 protein complex 5, zeta 1 subunit
isogroup11470_c0_g1	NLK MAP kinase activity
isogroup11407_c0_g1	 zinc ion binding
isogroup11401_c0_g2	ALG9 dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity
isogroup11435_c0_g1	RPL28 ribosomal protein L28
isogroup11410_c0_g1	B3GALTL Beta 1,3-galactosyltransferase-like
isogroup11429_c0_g2	PDAP1 28 kDa heat- and acid-stable
isogroup11454_c0_g1	RPL18A structural constituent of ribosome
isogroup11422_c1_g3	NIPSNAP1 Nipsnap homolog
isogroup11422_c0_g1	NIPSNAP1 Nipsnap homolog
isogroup11486_c1_g2	ARL5B protein localization to Golgi membrane
isogroup11486_c0_g1	MROH1 signal transduction involved in G2 DNA damage checkpoint
isogroup11497_c0_g1	NME5 negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
isogroup11497_c2_g2	FAM86A Family with sequence similarity 86, member A
isogroup11423_c0_g1	PXDN Peroxidasin homolog
isogroup11434_c0_g1	POLR1E RNA polymerase I transcription factor binding
isogroup11477_c0_g1	GLUL glutamine biosynthetic process
isogroup11419_c0_g1	AQR Intron-binding protein aquarius
isogroup11436_c0_g2	 ARF-like small GTPases; ARF, ADP-ribosylation factor
isogroup11415_c0_g1	 It is involved in the biological process described with protein catabolic process
isogroup11450_c4_g1	 positive regulation of TOR signaling
isogroup11400_c0_g1	Syx1A SNAP receptor activity
isogroup11441_c0_g1	MCUR1 Mitochondrial calcium uniporter regulator 1
isogroup11441_c1_g1	CNOT10 gene silencing by RNA
isogroup11440_c0_g2	CHURC1 churchill domain containing 1
isogroup11493_c3_g1	 ribose phosphate diphosphokinase activity. It is involved in the biological process described with nucleotide biosynthetic process
isogroup11479_c0_g1	 threonine-type endopeptidase activity
isogroup11492_c0_g1	 Protein tyrosine kinase
isogroup11492_c0_g2	 Protein tyrosine kinase
isogroup11487_c0_g1	RBFOX2 regulation of alternative mRNA splicing, via spliceosome
isogroup11409_c0_g1	PDIK1L protein serine/threonine kinase activity
isogroup11412_c0_g1	tfpi2 serine-type endopeptidase inhibitor activity
isogroup11463_c0_g1	WARS Belongs to the class-I aminoacyl-tRNA synthetase family
isogroup11424_c0_g1	CDC37 protein kinase binding
isogroup11499_c0_g1	 calcium-dependent phospholipid binding
isogroup11411_c0_g1	 phosphoenolpyruvate carboxykinase activity
isogroup25727_c0_g1	LSM3 cytoplasmic mRNA processing body assembly
isogroup25740_c0_g1	TRAPPC12 regulation of kinetochore assembly
isogroup25719_c0_g1	RPN2 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit
isogroup25714_c0_g1	ALDH3A2 Belongs to the aldehyde dehydrogenase family
isogroup25722_c0_g1	AK7 cytidylate kinase activity
isogroup25709_c0_g1	 Belongs to the small GTPase superfamily. Rho family
isogroup25779_c1_g1	ERCC4 regulation of double-stranded telomeric DNA binding
isogroup25785_c0_g1	LYRM1 Complex 1 protein (LYR family)
isogroup25736_c0_g1	CIRH1A maturation of SSU-rRNA
isogroup25712_c0_g1	 L-threonine 3-dehydrogenase
isogroup86476_c0_g1	NAGK N-acetyl-D-glucosamine kinase
isogroup86469_c0_g1	 thiomorpholine-carboxylate dehydrogenase activity
isogroup86455_c0_g1	ck translation initiation factor activity
isogroup86467_c0_g1	 lipid transport across blood brain barrier
isogroup17636_c0_g1	LSM14A LSM14 homolog
isogroup17645_c0_g1	NNT NAD(P)+ transhydrogenase (AB-specific) activity
isogroup17694_c0_g1	UBFD1 Ubiquitin homologues
isogroup17682_c0_g2	IRAK4 interleukin-1-mediated signaling pathway
isogroup17637_c0_g1	ANP32A Acidic (leucine-rich) nuclear phosphoprotein 32 family, member
isogroup17634_c0_g1	 Major Vault Protein repeat
isogroup17658_c1_g2	ANKEF1 Ankyrin repeat
isogroup17623_c0_g1	 Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
isogroup17687_c0_g1	CS citrate synthase
isogroup17615_c0_g1	LAMA2 regulation of embryonic development
isogroup17626_c0_g1	RAB14 Golgi to endosome transport
isogroup17647_c0_g1	CDC37 protein kinase binding
isogroup17609_c0_g1	 Ribonuclease H protein
isogroup17655_c0_g1	PLD6 Phospholipase D family member 6
isogroup17686_c0_g1	LIMS2 LIM and senescent cell antigen-like-containing domain protein
isogroup17686_c0_g2	LIMS2 LIM and senescent cell antigen-like-containing domain protein
isogroup17686_c0_g3	LIMS2 LIM and senescent cell antigen-like-containing domain protein
isogroup17621_c0_g1	ck translation initiation factor activity
isogroup17604_c0_g1	 Common central domain of tyrosinase
isogroup17661_c0_g1	CHMP5 vacuolar transport
isogroup17698_c0_g1	 plexin domain-containing protein
isogroup17698_c0_g2	 plexin domain-containing protein
isogroup17675_c0_g1	 Helicase conserved C-terminal domain
isogroup17650_c0_g1	COPB2 intracellular protein transport
isogroup17616_c0_g2	LACE1 lactation elevated
isogroup17664_c0_g1	 Protein tyrosine kinase
isogroup17612_c0_g1	 receptor-associated protein-like 2
isogroup17639_c0_g2	PIAS1 Protein inhibitor of activated STAT
isogroup17617_c0_g1	CCT2 chaperone mediated protein folding independent of cofactor
isogroup17643_c0_g1	 camp-dependent protein kinase catalytic subunit
isogroup17614_c1_g1	PAIP1 translation activator activity
isogroup17641_c0_g1	AGK acylglycerol kinase activity
isogroup17629_c0_g3	 Protein tyrosine kinase
isogroup17613_c0_g3	 Integrase core domain
isogroup17642_c0_g1	 lipid catabolic process
isogroup17683_c0_g1	ENY2 Involved in mRNA export coupled transcription activation by association with both the TREX-2 and the SAGA complexes. The transcription regulatory histone acetylation (HAT) complex SAGA is a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, participates to a subcomplex that specifically deubiquitinates histones. The SAGA complex is recruited to specific gene promoters by activators, where it is required for transcription. The TREX-2 complex functions in docking export-competent ribonucleoprotein particles (mRNPs) to the nuclear entrance of the nuclear pore complex (nuclear basket). TREX-2 participates in mRNA export and accurate chromatin positioning in the nucleus by tethering genes to the nuclear periphery
isogroup17659_c0_g1	GALK1 galactitol metabolic process
isogroup17662_c1_g1	ANKIB1 ubiquitin conjugating enzyme binding
isogroup69187_c0_g1	CycB3 regulation of cyclin-dependent protein serine/threonine kinase activity
isogroup69186_c0_g1	EIF3D translation initiation factor activity
isogroup69198_c0_g1	MAP3K1 JUN kinase kinase kinase activity
isogroup69104_c0_g1	 DEAD/DEAH box helicase
isogroup69104_c0_g2	 Helicase conserved C-terminal domain
isogroup69160_c0_g1	 lipid transport across blood brain barrier
isogroup69165_c0_g1	 EF-hand domain pair
isogroup69106_c0_g1	DHRS12 oxidoreductase activity
isogroup69118_c0_g1	MTHFD1 formate-tetrahydrofolate ligase activity
isogroup46892_c0_g1	 molybdopterin cofactor binding
isogroup46846_c0_g1	 E3 SUMO-protein ligase
isogroup46873_c0_g1	ANKRD49 spermatogenesis
isogroup46897_c0_g1	 gamma-butyrobetaine dioxygenase activity
isogroup46836_c0_g1	 Ubiquitin carboxyl-terminal hydrolase
isogroup46803_c0_g1	SNRPB RNA binding
isogroup46866_c0_g1	DAPP1 phosphatidylinositol-3,4-bisphosphate binding
isogroup46834_c0_g1	LAMTOR3 positive regulation of TOR signaling
isogroup46894_c0_g1	P4HA2 procollagen-proline 4-dioxygenase activity
isogroup46824_c0_g1	RIBC2 with coiled-coils
isogroup46814_c0_g1	ATG12 Atg8 ligase activity
isogroup46842_c0_g1	BCKDHA alpha-ketoacid dehydrogenase activity
isogroup46862_c0_g1	EPHX4 epoxide hydrolase activity
isogroup46825_c0_g1	PRKAB2 nail development
isogroup46872_c0_g1	 complement activation, classical pathway
isogroup49323_c0_g1	DOCK2 negative regulation of vascular smooth muscle contraction
isogroup49367_c0_g1	UQCRC2 protein processing involved in protein targeting to mitochondrion
isogroup49385_c0_g1	DGKE diacylglycerol kinase activity
isogroup49329_c0_g1	SGTA BAT3 complex binding
isogroup49349_c0_g2	 DEAD/DEAH box helicase
isogroup49366_c0_g1	SPAG7 nucleic acid binding
isogroup49363_c0_g1	CRAT O-acetyltransferase activity
isogroup4726_c0_g1	TRMT5 Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding
isogroup4726_c0_g2	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup4713_c0_g1	 Sodium/calcium exchanger protein
isogroup4728_c1_g1	GAB1 GRB2-associated-binding protein 1
isogroup4728_c0_g2	RPA3 mismatch repair
isogroup4785_c0_g1	AIFM3 2 iron, 2 sulfur cluster binding
isogroup4732_c0_g1	ABRACL ABRA C-terminal like
isogroup4717_c0_g1	COG6 intra-Golgi vesicle-mediated transport
isogroup4767_c0_g1	TXN2 Thioredoxin
isogroup4724_c2_g1	 Ubiquitin-like domain
isogroup4783_c0_g1	ERGIC2 vesicle-mediated transport
isogroup4719_c0_g1	GNL3 positive regulation of protein localization to chromosome, telomeric region
isogroup4719_c0_g3	 Belongs to the glycosyl hydrolase 31 family
isogroup4768_c0_g1	 nucleic acid-templated transcription
isogroup4703_c0_g1	APITD1 resolution of meiotic recombination intermediates
isogroup4747_c0_g2	ABCF2 ATP-binding cassette, sub-family F
isogroup4791_c0_g1	UPP1 uridine phosphorylase activity
isogroup4758_c0_g1	 Endonuclease/Exonuclease/phosphatase family
isogroup4782_c0_g5	 Ribosomal protein S18
isogroup4797_c0_g1	cathD aspartic-type endopeptidase activity
isogroup4760_c0_g1	TFAP2A Transcription factor
isogroup4778_c0_g1	CTSZ Belongs to the peptidase C1 family
isogroup4778_c0_g2	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
isogroup4787_c0_g1	GAS2 cell cycle arrest
isogroup4721_c0_g1	 regulation of Ral protein signal transduction
isogroup4753_c0_g1	 positive regulation of smooth muscle cell-matrix adhesion
isogroup4725_c0_g1	TMEM107 protein localization to ciliary transition zone
isogroup4779_c0_g1	DOK1 Docking protein 1b
isogroup4788_c0_g1	 DHHC palmitoyltransferase
isogroup4788_c2_g1	SGK1 serine threonine-protein kinase
isogroup4759_c0_g1	NFKB1 nuclear factor of kappa light polypeptide gene enhancer in B-cells
isogroup4759_c0_g3	NFKB1 nuclear factor of kappa light polypeptide gene enhancer in B-cells
isogroup4742_c0_g1	C20orf27 Domain of unknown function (DUF4517)
isogroup4702_c0_g1	 sulfotransferase activity
isogroup4709_c0_g1	HAL Histidine ammonia-lyase
isogroup4771_c0_g1	 CS domain
isogroup4771_c0_g2	NUDC unfolded protein binding
isogroup4735_c1_g1	SVOP transmembrane transporter activity
isogroup4735_c0_g1	SVOP Synaptic vesicle 2-related protein
isogroup4773_c0_g1	CENPJ centriole elongation
isogroup4738_c0_g1	ITGB2 ICAM-3 receptor activity
isogroup4792_c0_g1	 laminin subunit
isogroup4752_c0_g2	PRICKLE1 regulation of cardiac muscle cell myoblast differentiation
isogroup4715_c0_g1	 actin filament severing
isogroup4770_c0_g1	GDE1 Glycerophosphodiester phosphodiesterase
isogroup4769_c0_g1	WDR3 snoRNA binding
isogroup4793_c0_g1	FLNA Filamin A, alpha (actin binding protein 280)
isogroup4795_c0_g1	INF2 actin binding
isogroup4756_c0_g1	RTCA RNA-3'-phosphate cyclase activity
isogroup4776_c0_g1	SEMA3C cardiac endothelial to mesenchymal transition
isogroup4707_c0_g1	UBE2U protein modification by small protein conjugation
isogroup4707_c0_g3	GK5 glycerol-3-phosphate biosynthetic process
isogroup4706_c0_g1	 Fas associated factor family member 2
isogroup4706_c0_g2	CCDC60 Coiled-coil domain-containing protein 60
isogroup4743_c0_g1	EIF3G RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. This subunit can bind 18S rRNA
isogroup4750_c0_g2	 vacuolar proton-transporting V-type ATPase complex assembly
isogroup4708_c0_g3	 Transmembrane amino acid transporter protein
isogroup4784_c0_g1	 GTPase activator activity
isogroup4761_c0_g1	WSCD2 WSC domain containing 2
isogroup4714_c0_g1	GMPR2 Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides
isogroup4722_c0_g1	TTC37 nuclear-transcribed mRNA catabolic process
isogroup4745_c0_g1	LITAF Lipopolysaccharide-induced tumor necrosis factor-alpha factor
isogroup4700_c0_g1	EOGT EGF domain-specific O-linked N-acetylglucosamine
isogroup4798_c0_g1	ANKRD55 ankyrin repeat
isogroup4710_c0_g3	DCTPP1 dCTP pyrophosphatase 1
isogroup4765_c0_g1	TPMT Thiopurine S-methyltransferase
isogroup4740_c0_g1	TMSB10 actin monomer binding
isogroup4749_c0_g1	 Ankyrin repeat
isogroup4729_c0_g1	MLF1 Myeloid leukemia factor
isogroup4748_c1_g1	SERGEF Secretion-regulating guanine nucleotide exchange factor
isogroup4748_c0_g1	TOX4 DNA binding
isogroup4755_c0_g1	PRMT7 protein-arginine omega-N symmetric methyltransferase activity
isogroup4789_c0_g1	TAF6L TAF6-like RNA polymerase II, p300 CBP-associated
isogroup4723_c0_g1	PLEK2 phosphatidylinositol-3,4-bisphosphate binding
isogroup4723_c0_g2	 protein heterodimerization activity
isogroup4736_c0_g1	PSMD4 Protein of unknown function (DUF1631)
isogroup90532_c0_g1	 WD domain, G-beta repeat
isogroup90599_c0_g1	sno strawberry notch homolog
isogroup90593_c0_g1	WDR7 hematopoietic progenitor cell differentiation
isogroup90515_c0_g1	DNAH8 ATP-dependent microtubule motor activity, minus-end-directed
isogroup40199_c0_g2	 regulation of fibroblast apoptotic process
isogroup40137_c0_g1	gsk3b Glycogen synthase kinase 3 beta
isogroup40188_c0_g1	AOAH acyloxyacyl hydrolase activity
isogroup40117_c0_g1	CNPY2 positive regulation of low-density lipoprotein particle receptor biosynthetic process
isogroup40129_c0_g1	MAP4K4 MAP kinase kinase kinase kinase activity
isogroup40172_c0_g1	TMF1 TATA element modulatory factor 1 DNA binding
isogroup40178_c0_g1	SMARCE1 regulator of chromatin, subfamily e, member 1
isogroup40104_c0_g1	SYNPR regulation of opioid receptor signaling pathway
isogroup40156_c0_g1	NDUFA8 mitochondrial electron transport, NADH to ubiquinone
isogroup40167_c0_g1	cactin Cactus-binding C-terminus of cactin protein
isogroup40126_c0_g1	RTFDC1 site-specific DNA replication termination at RTS1 barrier
isogroup40141_c0_g1	DIS3L2 polyuridylation-dependent mRNA catabolic process
isogroup40147_c0_g2	Rpl27a structural constituent of ribosome
isogroup59321_c0_g1	PLOD1 procollagen-lysine 5-dioxygenase activity
isogroup59375_c0_g1	SMC1B response to cell cycle checkpoint signaling
isogroup59368_c0_g1	 leucine-rich repeat serine threonine-protein kinase
isogroup59371_c0_g1	SEC22B vesicle fusion with Golgi apparatus
isogroup59373_c0_g1	PSMD6 proteasome-mediated ubiquitin-dependent protein catabolic process
isogroup59387_c0_g1	 iron assimilation by reduction and transport
isogroup59399_c0_g1	XYLT1 xylosyltransferase
isogroup59355_c0_g1	ZDHHC13 protein-cysteine S-acyltransferase activity
isogroup59334_c0_g1	PRSS12 Protease, serine, 12 (neurotrypsin, motopsin)
isogroup59353_c0_g1	 negative regulation of non-canonical Wnt signaling pathway
isogroup59390_c0_g1	ENTPD3 nucleoside-diphosphatase activity
isogroup59367_c0_g1	CBY1 Chibby homolog 1
isogroup59316_c0_g1	 ADP-ribosylglycohydrolase
isogroup59323_c0_g1	RAB29 multi-organism toxin transport
isogroup53380_c0_g1	EXOC2 Exocyst complex component 2
isogroup53372_c0_g1	NNMT amine N-methyltransferase activity
isogroup53390_c0_g1	 3-keto-sphinganine metabolic process
isogroup53384_c1_g2	PEF1 positive regulation of protein monoubiquitination
isogroup53384_c1_g1	PEF1 positive regulation of protein monoubiquitination
isogroup53384_c0_g2	PEF1 positive regulation of protein monoubiquitination
isogroup53396_c0_g1	 Galactose oxidase, central domain
isogroup53361_c0_g1	OGT protein N-acetylglucosaminyltransferase activity
isogroup53342_c0_g1	RpS11 rRNA binding
isogroup53348_c2_g3	FMNL1 Formin-like
isogroup53344_c0_g1	CYBA negative regulation of renal output by angiotensin
isogroup53394_c0_g1	COPE The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. The coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
isogroup53394_c0_g2	COPE The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. The coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
isogroup53365_c0_g1	NSMCE1 element 1 homolog
isogroup53363_c0_g1	TIMM44 protein import into mitochondrial matrix
isogroup75793_c0_g1	ZNF622 ribosomal large subunit biogenesis
isogroup75770_c0_g1	 activation of NF-kappaB-inducing kinase activity
isogroup75798_c0_g1	FAH Fumarylacetoacetase N-terminal
isogroup75750_c0_g1	ADPRH ADP-ribosylarginine hydrolase activity
isogroup75722_c0_g1	RAB35 plasma membrane to endosome transport
isogroup75757_c0_g1	rps17 ribosomal small subunit assembly
isogroup75757_c0_g2	rps17 ribosomal protein
isogroup99405_c0_g1	 radial glial cell differentiation
isogroup99449_c0_g1	 Cytochrome P450
isogroup99485_c0_g1	RER1 RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)
isogroup81983_c0_g1	 thiomorpholine-carboxylate dehydrogenase activity
isogroup81945_c0_g1	HIBCH 3-hydroxyisobutyryl-CoA hydrolase activity
isogroup81929_c0_g1	GGA1 gamma adaptin ear containing, ARF binding protein 1
isogroup81962_c0_g1	GLO1 lactoylglutathione lyase activity
isogroup81902_c0_g1	CAT Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide
isogroup81942_c0_g1	 DEAD-like helicases superfamily
isogroup81958_c0_g1	 mechanosensitive ion channel activity
isogroup81978_c0_g1	SH2B2 SH2B adapter protein
isogroup81916_c0_g1	ACLY ATP-citrate synthase is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA in many tissues
isogroup97254_c0_g1	 G-protein beta/gamma-subunit complex binding
isogroup97227_c0_g1	ave Sterile alpha motif.
isogroup97299_c0_g1	RpS15Aa Structural constituent of ribosome. It is involved in the biological process described with
isogroup97270_c0_g1	LRRC57 Leucine Rich repeats (2 copies)
isogroup97249_c0_g1	PSTPIP1 inflammatory response
isogroup97212_c0_g1	GAMT Converts guanidinoacetate to creatine, using S- adenosylmethionine as the methyl donor
isogroup67654_c0_g1	 Protein phosphatase 2A homologues, catalytic domain.
isogroup67683_c0_g1	 K02A2.6-like
isogroup67681_c0_g1	RPS6KC1 ribosomal protein S6 kinase
isogroup67634_c0_g1	C12orf10 locomotory exploration behavior
isogroup67663_c0_g2	C7orf72 Domain of unknown function (DUF4540)
isogroup67607_c0_g1	NUP160 nuclear pore complex protein Nup160
isogroup67697_c0_g1	CALU calcium ion binding
isogroup67637_c0_g1	PDIA6 protein disulfide isomerase activity
isogroup67691_c0_g1	RAD54L DNA repair and recombination protein
isogroup67657_c0_g1	 NAD-dependent histone deacetylase activity (H4-K16 specific)
isogroup67613_c0_g1	BICC1 BicC family RNA binding protein 1
isogroup46201_c0_g1	DNAI1 outer dynein arm assembly
isogroup46209_c0_g1	NOLC1 Nucleolar and coiled-body phosphoprotein
isogroup46284_c0_g1	RPL13 structural constituent of ribosome
isogroup46204_c0_g1	CD2BP2 CD2 antigen cytoplasmic tail-binding protein 2
isogroup46239_c0_g1	PHYHD1 dioxygenase activity
isogroup46205_c0_g1	 lipid catabolic process
isogroup72246_c0_g1	SC5D Fatty acid hydroxylase superfamily
isogroup72285_c0_g1	PEX13 peroxisome localization
isogroup72228_c0_g2	STT3B subunit of the oligosaccharyltransferase complex
isogroup72238_c0_g1	GAK Cyclin G associated kinase
isogroup72277_c0_g1	NCF2 factor 2
isogroup15351_c0_g1	DCAF11 DDB1- and CUL4-associated factor 11
isogroup15345_c0_g1	 high mobility group
isogroup15376_c0_g1	 meprin and TRAF homology
isogroup15301_c0_g1	IRAK4 interleukin-1-mediated signaling pathway
isogroup15309_c0_g1	 plexin domain-containing protein
isogroup15331_c0_g4	 Rab guanyl-nucleotide exchange factor activity
isogroup15331_c0_g1	 Rab guanyl-nucleotide exchange factor activity
isogroup15303_c0_g1	RNF150 metal ion binding
isogroup15364_c0_g1	AP1M1 endosome to melanosome transport
isogroup15397_c0_g1	POLR1B nucleologenesis
isogroup15388_c0_g1	NID2 Nidogen-2
isogroup15379_c0_g1	 Tubulin/FtsZ family, GTPase domain
