k141_145339_5	chemotaxis, protein
k141_251933_45	Modulates RecA activity
k141_251933_46	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain
k141_251933_47	Belongs to the aspartokinase family
k141_251933_48	Could accelerate the degradation of some genes transcripts potentially through selective RNA binding
k141_251933_50	Belongs to the 'phage' integrase family
k141_251933_52	Calcineurin-like phosphoesterase superfamily domain
k141_400150_3	Citrate transporter
k141_400150_4	Citrate transporter
k141_400150_6	-
k141_400150_9	Chloride channel
k141_400150_11	Redoxin
k141_400150_14	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII
k141_400150_16	PFAM type I phosphodiesterase nucleotide pyrophosphatase
k141_400150_20	maleylacetoacetate isomerase
k141_33194_13	Protein of unknown function (DUF2442)
k141_33194_47	Adenine specific DNA methylase Mod
k141_33194_62	Carrier of the growing fatty acid chain in fatty acid biosynthesis
k141_252244_1	PFAM HTH transcriptional regulator, LysR
k141_252244_3	Belongs to the PEP-utilizing enzyme family
k141_252244_6	His Kinase A (phosphoacceptor) domain
k141_252244_12	Pirin
k141_252378_2	PIN domain
k141_252378_7	DAHP synthetase I family
k141_252378_9	small GTP-binding protein
k141_252378_10	Sulfatase-modifying factor enzyme 1
k141_252378_11	Histidine kinase
k141_252378_13	D-isomer specific 2-hydroxyacid dehydrogenase
k141_181756_2	(GGDEF) domain
k141_181756_7	Acetyltransferase (GNAT) domain
k141_181756_9	PFAM Histone deacetylase
k141_181756_10	Putative modulator of DNA gyrase
k141_181756_11	Modulator of DNA gyrase
k141_181756_13	Phosphoglycerate mutase family
k141_181756_15	PFAM N-acetylmuramoyl-L-alanine amidase family 2
k141_181756_16	Copper resistance protein D
k141_401061_1	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity
k141_401061_2	Cell division protein that is involved in the assembly of the Z ring. May serve as a membrane anchor for the Z ring
k141_401061_4	Belongs to the MurCDEF family
k141_252947_5	Phosphoglucomutase phosphomannomutase alpha beta subunit
k141_324657_1	Biotin carboxylase
k141_324658_1	COG1943 Transposase and inactivated derivatives
k141_324658_3	Protein of unknown function (DUF1343)
k141_474591_1	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_474591_2	Virulence protein RhuM family
k141_474591_5	Belongs to the heat shock protein 70 family
k141_474591_6	Transcription factor zinc-finger
k141_324950_1	Histidine kinase
k141_474729_3	Polysaccharide biosynthesis protein
k141_474729_4	Polysaccharide biosynthesis protein
k141_474729_6	Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane)
k141_474729_7	ATPase (AAA
k141_474918_3	Integrase core domain
k141_402410_4	Putative restriction endonuclease
k141_402410_5	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_402410_7	Bacterial regulatory proteins, tetR family
k141_402410_9	Cytochrome c
k141_402410_11	Di-haem cytochrome c peroxidase
k141_402410_12	PFAM Transposase
k141_402410_13	synthase component I
k141_402410_15	PFAM Dienelactone hydrolase
k141_110203_2	Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily
k141_110203_3	Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily
k141_110203_4	This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control
k141_110203_5	transcriptional
k141_110203_6	Belongs to the 'phage' integrase family
k141_110203_7	Phage integrase family
k141_110205_1	Phage integrase family
k141_110205_3	PFAM Integrase, catalytic core, phage
k141_110205_5	Phage derived protein Gp49-like (DUF891)
k141_110205_6	Helix-turn-helix domain
k141_110205_10	-
k141_110205_14	cytochrome C oxidase subunit II
k141_110205_15	Cytochrome C and Quinol oxidase polypeptide I
k141_110205_16	Cytochrome c
k141_110205_17	heavy metal translocating P-type ATPase
k141_325958_1	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
k141_325958_6	Belongs to the bacterial ribosomal protein bL32 family
k141_402762_1	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template
k141_402762_2	Belongs to the thioredoxin family
k141_402762_3	DEAD-box RNA helicase involved in RNA degradation. Has RNA-dependent ATPase activity and unwinds double-stranded RNA
k141_402762_4	smart pdz dhr glgf
k141_402762_5	Peptidase family M28
k141_402762_6	COG0741 Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM invasin domains)
k141_183573_3	SMART Adenylyl cyclase class-3 4 guanylyl cyclase
k141_183573_4	SMART cyclic nucleotide-binding
k141_183573_5	COG0488 ATPase components of ABC transporters with duplicated ATPase domains
k141_183573_8	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
k141_183573_9	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
k141_183573_15	Antidote-toxin recognition MazE, bacterial antitoxin
k141_183573_17	PFAM Alpha beta hydrolase
k141_183573_18	Diguanylate cyclase
k141_183573_19	-
k141_183573_21	Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression
k141_183573_23	Aminotransferase class I and II
k141_183573_24	Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1)
k141_183573_25	PFAM carbohydrate kinase
k141_183573_26	High affinity, high specificity proton-dependent sulfate transporter, which mediates sulfate uptake. Provides the sulfur source for the cysteine synthesis pathway
k141_402980_1	COG4166 ABC-type oligopeptide transport system, periplasmic component
k141_402980_2	COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components
k141_35613_2	PFAM transposase, IS4
k141_35613_3	Putative transposase
k141_35613_4	Phage integrase, N-terminal SAM-like domain
k141_183936_1	COG0654 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
k141_183936_2	Ubiquinone biosynthesis hydroxylase, UbiH UbiF VisC COQ6
k141_183936_3	peptidase M24B, X-Pro dipeptidase aminopeptidase
k141_183936_4	TIGRFAM TIGR02449 family protein
k141_183936_6	Belongs to the 5-formyltetrahydrofolate cyclo-ligase family
k141_183936_7	EVE domain
k141_183936_8	Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA
k141_183936_9	Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate
k141_183936_10	membrane
k141_476333_1	TIGRFAM Nitrogenase cofactor biosynthesis protein NifB
k141_476333_2	ferredoxin
k141_476333_3	Ferredoxin
k141_476333_5	SpoVT AbrB
k141_476333_6	Toxic component of a toxin-antitoxin (TA) module. An RNase
k141_476333_8	COG3385 FOG Transposase and inactivated derivatives
k141_254861_7	COG1235 Metal-dependent hydrolases of the beta-lactamase superfamily I
k141_184253_1	Domain of unknown function (DUF4143)
k141_184253_2	Belongs to the phosphatidylserine decarboxylase family. PSD-B subfamily. Prokaryotic type I sub-subfamily
k141_184253_3	Rhodanese Homology Domain
k141_184253_6	Phage Mu protein F like protein
k141_184919_1	Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site
k141_111622_1	PFAM Transposase IS200 like
k141_327197_2	PFAM Protein kinase domain
k141_327197_3	Protein phosphatase 2C
k141_327197_4	von Willebrand factor type A domain
k141_327197_5	von Willebrand factor type A domain
k141_327197_10	Phosphoribosyl transferase
k141_327197_11	TerD domain
k141_327197_13	membrane protein, terc
k141_327312_2	Multicopper oxidase
k141_327312_3	AcrB/AcrD/AcrF family
k141_327312_5	UvrD-like helicase C-terminal domain
k141_36839_2	GTP-binding protein TypA
k141_36839_10	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine
k141_255838_3	PFAM Transposase IS3 IS911
k141_255873_1	PFAM Transposase, IS4-like
k141_255897_2	PFAM Transposase IS200 like
k141_404792_1	Homocysteine S-methyltransferase
k141_404792_2	malonyl CoA-acyl carrier protein transacylase
k141_186110_7	PFAM CDP-alcohol phosphatidyltransferase
k141_186110_8	Uncharacterized protein conserved in bacteria (DUF2066)
k141_186110_10	PFAM secretion protein HlyD
k141_186110_11	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_186110_12	PFAM Nucleotidyl transferase
k141_186110_13	glutamate--cysteine ligase
k141_186110_14	PFAM Succinylglutamate desuccinylase Aspartoacylase
k141_186110_20	Integrase core domain
k141_186110_25	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
k141_256464_1	GTPase that plays an essential role in the late steps of ribosome biogenesis
k141_256464_3	Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds
k141_186424_2	Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes
k141_186424_3	PFAM Sulphatase-modifying factor
k141_186424_5	PFAM Transposase IS200 like
k141_186424_6	PFAM Sulphatase-modifying factor
k141_186424_12	Quinol dehydrogenase
k141_186424_13	Ferredoxin-type protein napG of Proteobacteria UniRef RepID
k141_186424_14	Catalytic subunit of the nitrate reductase (NAP). Only expressed at high levels during aerobic growth. NapAB complex receives electrons from the membrane-anchored tetraheme protein NapC. Essential function for nitrate assimilation and may have a role in anaerobic metabolism
k141_186424_15	Cytochrome C oxidase, cbb3-type, subunit III
k141_186424_18	PFAM Phosphoribulokinase uridine kinase
k141_186424_25	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine
k141_186424_26	-
k141_186424_27	Transposase zinc-binding domain
k141_328637_1	Belongs to the CinA family
k141_328637_2	TIGRFAM Diguanylate cyclase
k141_328637_3	-
k141_328637_6	Antitoxin component of a toxin-antitoxin (TA) module
k141_113359_1	Integrase
k141_113359_3	COG4974 Site-specific recombinase XerD
k141_38376_1	Transposase IS4 family
k141_257230_1	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
k141_257230_2	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic
k141_257230_3	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins
k141_406081_1	ParB-like nuclease domain
k141_406081_2	alpha/beta hydrolase fold
k141_113815_7	PFAM DNA methylase
k141_39002_3	Uncharacterized protein conserved in bacteria (DUF2130)
k141_187284_25	PFAM small multidrug resistance protein
k141_329529_7	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons
k141_39369_1	reverse transcriptase
k141_39369_2	PFAM Reverse transcriptase (RNA-dependent DNA polymerase)
k141_187769_1	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
k141_187769_2	Nucleotidyltransferase domain
k141_187769_3	Protein of unknown function DUF86
k141_187769_4	zinc-finger of transposase IS204/IS1001/IS1096/IS1165
k141_187769_6	Addiction module toxin, Txe YoeB
k141_114554_2	ATPase, P-type (transporting), HAD superfamily, subfamily IC
k141_114613_1	Tetratricopeptide repeat
k141_114613_2	TIGRFAM CRISPR-associated protein
k141_114613_3	Part of a sulfur-relay system
k141_480101_1	-
k141_480101_3	GTP-binding protein TypA
k141_480101_4	Belongs to the peptidase S33 family
k141_480101_5	rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality
k141_480101_6	imidazoleglycerol-phosphate dehydratase
k141_480101_7	1-(5-phosphoribosyl)-5- (5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase
k141_480101_9	phosphoribosyl-ATP pyrophosphohydrolase
k141_480101_10	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system
k141_480101_11	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation
k141_480101_12	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides
k141_480101_13	Protein of unknown function, DUF255
k141_480101_14	Pentapeptide
k141_480101_17	PFAM alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
k141_480101_20	pfam abc
k141_480101_21	Belongs to the binding-protein-dependent transport system permease family
k141_480101_22	Branched-chain amino acid transport system / permease component
k141_480101_23	ABC transporter, urea
k141_480101_24	short chain amide porin
k141_480234_1	PFAM TrkA-N domain
k141_480234_2	response regulator receiver
k141_480234_3	signal transduction histidine kinase
k141_480234_4	Domain of unknown function (DUF4390)
k141_480234_5	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA
k141_480234_6	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus
k141_480234_7	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions
k141_480234_8	Lysin motif
k141_480234_9	TIGRFAM DNA protecting protein DprA
k141_480234_10	Belongs to the Smg family
k141_480234_11	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone
k141_480234_12	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR)
k141_480234_13	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Catalyzes the conversion of L-threonine, HCO(3)(-) CO(2) and ATP to give threonylcarbamoyl-AMP (TC-AMP) as the acyladenylate intermediate, with the release of diphosphate
k141_480234_18	TIGRFAM Amino acid adenylation
k141_480234_23	Permease YjgP YjgQ
k141_480234_29	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr)
k141_480234_30	Phosphotransferase System
k141_480234_31	PTS system fructose IIA component
k141_480234_32	Displays ATPase and GTPase activities
k141_480234_33	Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr)
k141_480234_34	PTS IIA-like nitrogen-regulatory protein PtsN
k141_480234_35	Sigma 54 modulation protein
k141_480234_36	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released
k141_480234_37	PFAM ABC transporter
k141_480234_38	Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. May form a bridge between the inner membrane and the outer membrane, via interactions with LptC and LptD, thereby facilitating LPS transfer across the periplasm
k141_480234_39	Lipopolysaccharide-assembly, LptC-related
k141_480234_40	Involved in the biosynthesis of lipopolysaccharides (LPSs). Catalyzes the hydrolysis of 3-deoxy-D-manno-octulosonate 8-phosphate (KDO 8-P) to 3-deoxy-D-manno-octulosonate (KDO) and inorganic phosphate
k141_480234_41	Arabinose 5-phosphate isomerase
k141_480234_42	antiporter
k141_480234_43	ABC transporter
k141_480234_44	ABC transporter permease
k141_480234_45	PFAM Mammalian cell entry related domain protein
k141_480234_46	PFAM toluene tolerance
k141_480234_47	PFAM Sulfate transporter antisigma-factor antagonist STAS
k141_480234_48	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine
k141_480234_49	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity
k141_480234_50	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine
k141_480234_51	Aminotransferase class I and II
k141_480234_52	Trypsin
k141_480234_53	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
k141_480234_54	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
k141_480234_55	Cytochrome C1 family
k141_480234_56	PFAM Glutathione S-transferase
k141_480234_57	Stringent starvation protein B
k141_480234_58	Protein of unknown function (DUF3301)
k141_480234_59	phosphatase homologous to the C-terminal domain of histone macroH2A1
k141_480234_60	BON domain
k141_480234_63	FAD binding domain
k141_480234_66	Acetyltransferase (GNAT) domain
k141_480234_67	ThiF family
k141_480234_68	Transposase zinc-ribbon domain
k141_114936_1	Bacterial dnaA  protein
k141_188289_4	TIGRFAM sulfur relay protein, TusE DsrC DsvC family
k141_188289_5	-
k141_188289_6	Belongs to the HSP15 family
k141_188289_7	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins
k141_188289_8	Thioredoxin
k141_188289_11	AcrB/AcrD/AcrF family
k141_188289_12	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
k141_188289_13	Belongs to the glycosyl hydrolase 57 family
k141_188289_15	Starch synthase catalytic domain
k141_188289_19	Phosphopantetheine attachment site
k141_188289_20	Bacterial lipid A biosynthesis acyltransferase
k141_330710_1	von Willebrand factor, type A
k141_330710_5	Protein tyrosine kinase
k141_330710_6	CoA-binding domain protein
k141_330710_7	PFAM Histone deacetylase
k141_40247_1	Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn)
k141_480733_2	Ribbon-helix-helix protein, copG family
k141_480733_6	IrrE N-terminal-like domain
k141_40304_1	phosphoenolpyruvate carboxykinase (diphosphate) activity
k141_481162_7	ATP-dependent endonuclease of the OLD family
k141_481162_8	UvrD-like helicase C-terminal domain
k141_481162_10	Transcriptional regulators
k141_481162_11	Domain of unknown function (DUF4411)
k141_481162_12	Subunit R is required for both nuclease and ATPase activities, but not for modification
k141_331401_2	Taurine catabolism dioxygenase TauD, TfdA family
k141_189212_4	Integrase catalytic
k141_259581_1	ABC transporter
k141_116069_1	Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule
k141_331758_2	Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source
k141_331758_3	Belongs to the P(II) protein family
k141_331758_4	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
k141_331758_5	Responsible for synthesis of pseudouridine from uracil
k141_331758_6	Belongs to the multicopper oxidase YfiH RL5 family
k141_331758_8	PFAM peptidase
k141_331758_9	Permease MlaE
k141_331758_10	PFAM ABC transporter related
k141_331758_11	PFAM Mammalian cell entry related domain protein
k141_331758_12	ABC-type transport auxiliary lipoprotein component
k141_331758_13	PFAM HNH endonuclease
k141_331758_14	Methyltransferase
k141_331758_15	Rhodanese Homology Domain
k141_331758_16	peptidase M48, Ste24p
k141_331758_18	COG3385 FOG Transposase and inactivated derivatives
k141_189577_2	Region found in RelA / SpoT proteins
k141_116343_1	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
k141_116343_2	E COG0620 Methionine synthase II (cobalamin-independent)
k141_116343_5	Cupin 2, conserved barrel domain protein
k141_116343_6	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine
k141_116343_8	SnoaL-like polyketide cyclase
k141_41470_1	MMPL family
k141_189732_1	NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding
k141_116503_1	Chloride channel
k141_189812_1	HflC and HflK could regulate a protease
k141_189812_2	HflC and HflK could encode or regulate a protease
k141_189812_3	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis
k141_189812_4	RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs
k141_189812_5	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)
k141_189812_6	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex
k141_189812_7	Cell wall hydrolase autolysin
k141_189812_8	ATPase or kinase
k141_189812_9	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration
k141_189812_10	Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)
k141_189812_11	3'-to-5' exoribonuclease specific for small oligoribonucleotides
k141_189812_12	Cytochrome c
k141_189812_13	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit
k141_189812_14	Histidine triad (HIT) protein
k141_189812_15	Responsible for synthesis of pseudouridine from uracil
k141_189812_16	Endoribonuclease that plays a central role in RNA processing and decay. Required for the maturation of 5S and 16S rRNAs and the majority of tRNAs. Also involved in the degradation of most mRNAs
k141_189812_17	low molecular weight
k141_189812_20	Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria
k141_189812_22	Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA)
k141_189812_23	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation
k141_189812_24	COG0848 Biopolymer transport protein
k141_189812_25	PFAM MotA TolQ ExbB proton channel
k141_189812_27	protein conserved in bacteria
k141_189812_28	Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine
k141_189812_29	homoserine dehydrogenase
k141_189812_30	aminotransferase class I and II
k141_189812_31	Protein of unknown function (DUF498/DUF598)
k141_189812_33	(GGDEF) domain
k141_189812_34	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids
k141_189812_35	it exhibits DNA-dependent ATPase activity and contains distinct active sites for ATP binding, DNA binding, and interaction with DnaC protein, primase, and other prepriming proteins
k141_189812_36	binds to the 23S rRNA
k141_189812_37	membrane
k141_189812_38	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit
k141_189812_39	Binds together with S18 to 16S ribosomal RNA
k141_189812_40	Specifically methylates the ribose of guanosine 2251 in 23S rRNA
k141_189812_41	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs
k141_41645_34	Adenylyltransferase that mediates the addition of adenosine 5'-monophosphate (AMP) to specific residues of target proteins
k141_189843_2	COG0563 Adenylate kinase and related kinases
k141_189843_6	Transposase
k141_332473_4	Metal-dependent hydrolase
k141_332473_5	ABC transporter
k141_332496_1	Catalyzes cross-linking of the peptidoglycan cell wall
k141_482731_5	Bacterial transglutaminase-like N-terminal
k141_116678_1	(GMC) oxidoreductase
k141_116678_6	MazG-like family
k141_116678_7	argininosuccinate lyase
k141_116678_8	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps
k141_116678_9	Uroporphyrinogen III synthase
k141_116678_10	Oxidoreductase FAD-binding domain
k141_116678_11	NAD(P)H-binding
k141_116678_15	Glycosyltransferase Family 4
k141_116678_17	-
k141_116678_19	Asparagine synthase
k141_116678_20	Wzy family polymerase, exosortase system type 1 associated
k141_116678_26	PFAM Glycosyl transferase, group 1
k141_116678_30	polysaccharide deacetylase
k141_116678_32	Uncharacterized conserved protein (DUF2075)
k141_116678_34	AAA domain
k141_116678_35	PFAM Lipopolysaccharide biosynthesis
k141_116678_36	Polysaccharide biosynthesis/export protein
k141_116678_37	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
k141_116678_38	Protein of unknown function (DUF1015)
k141_116678_40	Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule
k141_116678_41	Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule
k141_116678_42	CNP1-like family
k141_116678_47	Protein of unknown function (DUF3501)
