isogroup122754_c0_g1	NLRP2 PAAD/DAPIN/Pyrin domain
isogroup69330_c4_g2	TRMT2A Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
isogroup69329_c0_g2	 Immunoglobulin C-2 Type
isogroup69347_c0_g2	SPOPL ubiquitin protein ligase binding
isogroup69370_c0_g2	SUGP1 RNA processing
isogroup69332_c0_g1	ABCF1 translation activator activity
isogroup69385_c0_g1	RNF185 cAMP binding
isogroup69373_c0_g1	 homogentisate 1,2-dioxygenase
isogroup69373_c0_g2	HGD homogentisate 1,2-dioxygenase activity
isogroup69373_c0_g3	 Homogentisate 1,2-dioxygenase activity. It is involved in the biological process described with
isogroup69324_c0_g1	 EF-hand domain pair
isogroup69394_c0_g1	MRPS25 structural constituent of ribosome
isogroup69326_c0_g2	MPC1 mitochondrial pyruvate transmembrane transport
isogroup69326_c0_g4	PPIL6 PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
isogroup69326_c0_g1	MRPS9 ribosomal protein, S9
isogroup69311_c1_g3	 K02A2.6-like
isogroup69368_c1_g1	PPT2 palmitoyl-(protein) hydrolase activity
isogroup69358_c0_g5	 Translation initiation factor activity. It is involved in the biological process described with translational initiation
isogroup69302_c0_g1	 cysteine-type endopeptidase activity
isogroup69302_c0_g3	 cysteine-type endopeptidase activity
isogroup69302_c0_g4	 cysteine-type endopeptidase activity
isogroup69302_c0_g5	 cysteine-type endopeptidase activity
isogroup69302_c0_g7	CTSK cysteine-type endopeptidase activity
isogroup69304_c2_g1	 laminin subunit
isogroup69339_c0_g1	 scavenger receptor activity
isogroup69339_c0_g2	 activation of NF-kappaB-inducing kinase activity
isogroup69344_c0_g1	TYW5 tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity
isogroup69310_c0_g1	 Type I phosphodiesterase / nucleotide pyrophosphatase
isogroup69350_c0_g1	TXNDC8 glycerol ether metabolic process
isogroup69350_c0_g2	TXNDC8 glycerol ether metabolic process
isogroup69350_c0_g10	TXNDC8 glycerol ether metabolic process
isogroup69312_c0_g1	PPM1E peptidyl-threonine dephosphorylation
isogroup69398_c2_g1	 zinc ion binding
isogroup69398_c2_g2	ZCCHC24 zinc ion binding
isogroup69352_c2_g1	PSMD10 26S proteasome non-ATPase regulatory subunit
isogroup69364_c2_g1	IVD Isovaleryl Coenzyme A dehydrogenase
isogroup69378_c1_g1	Dok Phosphotyrosine-binding domain (IRS1-like)
isogroup69321_c3_g1	CATSPER2 voltage-gated sodium channel activity
isogroup69321_c5_g1	 peptidyl-serine dephosphorylation
isogroup69371_c3_g1	Lim3 binding. It is involved in the biological process described with regulation of transcription, DNA-templated
isogroup69371_c4_g1	ANKMY2 Ankyrin repeat and MYND
isogroup69322_c4_g1	ORMDL2 ORMDL family
isogroup69356_c3_g2	 Signal recognition particle receptor beta subunit
isogroup69356_c3_g4	 ARF-like small GTPases; ARF, ADP-ribosylation factor
isogroup69356_c4_g1	ARF6 Belongs to the small GTPase superfamily. Arf family
isogroup69356_c4_g6	ARF6 Belongs to the small GTPase superfamily. Arf family
isogroup69335_c2_g1	FTH1 oxidoreductase activity, oxidizing metal ions, oxygen as acceptor
isogroup69399_c6_g1	CRAT O-acetyltransferase activity
isogroup69318_c1_g9	 signaling receptor binding
isogroup69325_c1_g1	RPS23 maintenance of translational fidelity
isogroup69325_c1_g2	RPS23 maintenance of translational fidelity
isogroup69307_c0_g1	UBTD2 Ubiquitin-binding domain
isogroup69360_c0_g1	B3GALTL Beta-1,3-glucosyltransferase
isogroup69386_c1_g1	 Ras subfamily of RAS small GTPases
isogroup69363_c4_g1	 Cysteine-type peptidase activity. It is involved in the biological process described with proteolysis
isogroup69365_c0_g1	KCP Kielin chordin-like protein
isogroup69357_c0_g1	RAB21 positive regulation of early endosome to late endosome transport
isogroup69388_c0_g1	SSR4 Translocon-associated protein, delta subunit precursor (TRAP-delta)
isogroup69388_c0_g2	SSR4 Translocon-associated protein, delta subunit precursor (TRAP-delta)
isogroup69372_c10_g1	hppy Mitogen-activated protein kinase kinase kinase
isogroup69331_c3_g2	 nucleic acid binding
isogroup69331_c7_g2	ATP5L Mitochondrial ATP synthase g subunit
isogroup69367_c1_g1	 regulation of mitotic cell cycle
isogroup69367_c1_g2	 NACHT domain
isogroup69336_c0_g1	RPAIN protein import into nucleus
isogroup69333_c0_g1	 G-protein coupled receptor activity
isogroup69380_c3_g1	PIGL Phosphatidylinositol glycan anchor biosynthesis, class L
isogroup69351_c0_g1	 Animal haem peroxidase
isogroup69351_c0_g7	 Animal haem peroxidase
isogroup69351_c0_g8	 heme binding. It is involved in the biological process described with response to oxidative stress
isogroup69351_c0_g10	 Animal haem peroxidase
isogroup69351_c0_g12	 Animal haem peroxidase
isogroup69351_c1_g1	 protein tyrosine phosphatase activity
isogroup69374_c0_g1	MYD88 TIR domain binding
isogroup69343_c1_g1	 metallopeptidase activity
isogroup69376_c0_g3	 gamma-aminobutyric acid type B receptor subunit
isogroup69397_c1_g1	 Sodium potassium-transporting ATPase subunit alpha
isogroup69397_c1_g2	 Sodium potassium-transporting ATPase subunit alpha
isogroup69397_c1_g3	ATP1A2 sodium:potassium-exchanging ATPase activity
isogroup69397_c1_g7	 Cation transporter/ATPase, N-terminus
isogroup69397_c1_g8	 Cation transporter/ATPase, N-terminus
isogroup69397_c1_g5	ATP1A1 sodium:potassium-exchanging ATPase activity
isogroup69392_c11_g7	SON SON DNA binding protein
isogroup69382_c9_g2	SPAG8 single fertilization
isogroup69377_c0_g1	SPG21 CD4 receptor binding
isogroup69383_c2_g1	USP5 Ubiquitin carboxyl-terminal hydrolase
isogroup69383_c3_g1	 K02A2.6-like
isogroup69327_c6_g1	SNAP25 short-term synaptic potentiation
isogroup69301_c0_g1	GCN1L1 GCN1 general control of amino-acid synthesis 1-like 1 (yeast)
isogroup69301_c0_g2	 phosphatidylinositol transporter activity
isogroup80026_c0_g1	RAP2C Rap protein signal transduction
isogroup80009_c0_g1	 histidine ammonia-lyase activity
isogroup80084_c0_g1	CAPRIN1 cell cycle associated protein
isogroup80032_c0_g1	 attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation
isogroup80016_c0_g1	NDUFS6 mitochondrial electron transport, NADH to ubiquinone
isogroup80051_c0_g1	VBP1 tubulin complex assembly
isogroup71762_c2_g1	COMMD7 NF-kappaB binding
isogroup71762_c2_g2	SLC35B4 UDP-xylose transmembrane transport
isogroup71760_c3_g1	Oat Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
isogroup71786_c0_g1	 positive regulation of integrin-mediated signaling pathway
isogroup71750_c9_g1	JIL-1 ribosomal protein S6 kinase
isogroup71750_c10_g3	CPSF6 cleavage and polyadenylation specificity factor subunit
isogroup71746_c0_g2	 imaginal disc-derived wing hair outgrowth
isogroup71774_c4_g1	DNTTIP2 deoxynucleotidyltransferase, terminal, interacting protein 2
isogroup71709_c0_g1	 S-adenosyl-L-homocysteine hydrolase, NAD binding domain
isogroup71709_c1_g1	 polypeptide N-acetylgalactosaminyltransferase
isogroup71716_c3_g4	ABCC4 ATP-binding cassette, sub-family C (CFTR MRP), member 4
isogroup71730_c0_g2	AP4M1 Golgi to lysosome transport
isogroup71776_c6_g1	ITPKC Belongs to the inositol phosphokinase (IPK) family
isogroup71776_c7_g1	SMC4 chromosome condensation
isogroup71792_c0_g3	GMPR2 Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides
isogroup71792_c0_g1	GMPR2 Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides
isogroup71724_c5_g2	 protein heterodimerization activity
isogroup71724_c5_g1	 protein heterodimerization activity
isogroup71777_c0_g1	PLBD1 lipid catabolic process
isogroup71771_c0_g2	 DSBA-like thioredoxin domain
isogroup71771_c0_g3	OSTC macromolecule glycosylation
isogroup71727_c1_g2	 Trypsin Inhibitor like cysteine rich domain
isogroup71702_c0_g2	MAFB abducens nerve formation
isogroup71702_c0_g3	MAF1 Element of the TORC1 signaling pathway that acts as a mediator of diverse signals and that represses RNA polymerase III transcription. Inhibits the de novo assembly of TFIIIB onto DNA
isogroup71702_c0_g4	PRDX6 Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Can reduce H(2)O(2) and short chain organic, fatty acid, and phospholipid hydroperoxides. Also has phospholipase activity, and can therefore either reduce the oxidized sn-2 fatty acyl grup of phospholipids (peroxidase activity) or hydrolyze the sn-2 ester bond of phospholipids (phospholipase activity). These activities are dependent on binding to phospholipids at acidic pH and to oxidized phospholipds at cytosolic pH. Plays a role in cell protection against oxidative stress by detoxifying peroxides and in phospholipid homeostasis
isogroup71729_c0_g1	CAPZB capping protein (actin filament) muscle Z-line, beta
isogroup71729_c0_g2	CAPZB capping protein (actin filament) muscle Z-line, beta
isogroup71729_c0_g4	CAPZB capping protein (actin filament) muscle Z-line, beta
isogroup71782_c0_g1	PPOX protoporphyrinogen oxidase activity
isogroup71794_c0_g1	AP-1sigma Belongs to the adaptor complexes small subunit family
isogroup71769_c1_g2	TUSC3 protein N-linked glycosylation via asparagine
isogroup71703_c0_g2	DNAH8 ATP-dependent microtubule motor activity, minus-end-directed
isogroup71752_c4_g4	CycB3 regulation of cyclin-dependent protein serine/threonine kinase activity
isogroup71752_c4_g2	map3k3 Mitogen-activated protein kinase kinase kinase
isogroup71788_c0_g1	PEF1 positive regulation of protein monoubiquitination
isogroup71773_c1_g2	ATP6V1C2 Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
isogroup71773_c1_g5	ATP6V1C2 Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
isogroup71723_c0_g1	CANX unfolded protein binding
isogroup71723_c4_g2	POLR1A negative regulation of protein localization to nucleolus
isogroup71779_c0_g3	 ephrin receptor activity
isogroup71756_c0_g1	CCDC39 epithelial cilium movement involved in determination of left/right asymmetry
isogroup71743_c2_g2	 protein phosphatase regulator activity
isogroup71758_c0_g1	CAB39L positive regulation of peptidyl-threonine phosphorylation
isogroup71715_c5_g4	 Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
isogroup71715_c5_g5	TUBA3E structural constituent of cytoskeleton
isogroup71715_c5_g6	 Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
isogroup71714_c0_g1	 aspartyl-tRNA synthetase 2, mitochondrial
isogroup71753_c0_g2	PTPMT1 Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1
isogroup71753_c0_g1	CCDC153 coiled-coil
isogroup71789_c1_g1	ACO2 regulation of ARF protein signal transduction
isogroup71763_c1_g1	Hel25E Type III restriction enzyme, res subunit
isogroup71763_c1_g2	Hel25E ATP-dependent RNA helicase
isogroup71726_c1_g4	EF1a-F2 regulation of response to stimulus
isogroup71726_c2_g1	EF1a-F2 regulation of response to stimulus
isogroup71726_c2_g2	EF1a-F2 regulation of response to stimulus
isogroup71770_c5_g1	 Pecanex protein (C-terminus)
isogroup71770_c6_g1	 Domain of unknown function (DUF4042)
isogroup71708_c1_g3	F26F2.7 Transmembrane anterior posterior transformation 1
isogroup71787_c0_g1	ABHD12B phosphatidylserine catabolic process
isogroup71721_c1_g2	FECH Catalyzes the ferrous insertion into protoporphyrin IX
isogroup71719_c0_g1	 lipid catabolic process
isogroup71798_c0_g1	GLO1 Lactoylglutathione lyase
isogroup71798_c1_g1	GLO1 lactoylglutathione lyase activity
isogroup71700_c0_g1	WDR45B protein localization to phagophore assembly site
isogroup71734_c0_g1	 Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways
isogroup71761_c0_g1	STIM2 stromal interaction molecule
isogroup71738_c0_g1	PISD Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine
isogroup71701_c0_g2	COMMD2 nucleic acid-templated transcription
isogroup71728_c6_g2	dos PH domain
isogroup71736_c1_g1	NARS2 asparagine-tRNA ligase activity
isogroup71797_c0_g1	 C2 domain
isogroup71713_c7_g2	RPS10 ribosomal small subunit assembly
isogroup71713_c7_g6	 collagen
isogroup71741_c3_g1	CYBA negative regulation of renal output by angiotensin
isogroup71741_c4_g1	CYBA negative regulation of renal output by angiotensin
isogroup71741_c5_g2	ABHD6 Abhydrolase domain containing
isogroup71795_c4_g1	UBB Ubiquitin-like domain
isogroup71783_c0_g1	DCLRE1C protection from non-homologous end joining at telomere
isogroup71733_c5_g2	PCGF1 Polycomb group ring finger
isogroup71757_c0_g1	UBA2 SUMO activating enzyme activity
isogroup71735_c3_g1	 chaperone cofactor-dependent protein refolding
isogroup71765_c0_g1	ALDH3A2 long-chain-aldehyde dehydrogenase activity
isogroup71737_c10_g4	 complement activation, classical pathway
isogroup71737_c10_g5	 complement activation, classical pathway
isogroup71737_c10_g6	 complement activation, classical pathway
isogroup71737_c10_g7	 complement activation, classical pathway
isogroup71747_c1_g7	 transposition, RNA-mediated
isogroup71747_c1_g9	 transposition, RNA-mediated
isogroup71772_c0_g1	SEC14L2 CRAL/TRIO, N-terminal domain
isogroup71772_c0_g5	 oxidoreductase activity
isogroup71740_c4_g1	PPAPDC1B phosphatidate phosphatase activity
isogroup71710_c2_g1	HLCS biotin-[acetyl-CoA-carboxylase] ligase activity
isogroup71759_c12_g1	EFCAB7 positive regulation of protein localization to ciliary membrane
isogroup65505_c0_g1	eff protein modification by small protein conjugation
isogroup65505_c1_g1	eff protein modification by small protein conjugation
isogroup65505_c1_g2	eff Ubiquitin-conjugating enzyme
isogroup65505_c1_g3	eff protein modification by small protein conjugation
isogroup65546_c0_g1	 Nidogen-like
isogroup65546_c0_g2	 cell-matrix adhesion
isogroup65516_c0_g1	ATE1 transferase 1
isogroup65502_c0_g1	 Spermine oxidase
isogroup65501_c0_g1	 regulation of myosin II filament organization
isogroup65523_c0_g1	 receptor localization to non-motile cilium
isogroup65524_c1_g1	MTMR2 Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
isogroup65514_c0_g1	DBLOX peroxidase activity
isogroup65595_c0_g1	THEGL Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
isogroup65578_c0_g1	 vacuolar proton-transporting V-type ATPase complex assembly
isogroup65578_c0_g2	DMXL1 RAVE protein 1 C terminal
isogroup65510_c1_g1	YBX2 CRD-mediated mRNA stabilization
isogroup65558_c0_g1	 dynein light chain binding
isogroup65550_c0_g2	C2CD3 C2 calcium-dependent domain containing 3
isogroup65560_c0_g1	ATP6V0A1 Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase
isogroup65571_c0_g1	VTA1 Vacuolar protein sorting-associated protein VTA1 homolog
isogroup65563_c0_g1	 Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
isogroup65526_c0_g1	UROC1 urocanate hydratase activity
isogroup65503_c0_g2	GTF2E2 transcription initiation from RNA polymerase II promoter
isogroup65581_c0_g1	MDC1 Regulator of Ty1 transposition protein 107 BRCT domain
isogroup65557_c0_g1	dcp2 DCP2 decapping enzyme homolog (S. cerevisiae)
isogroup65582_c2_g2	bel helicase superfamily c-terminal domain
isogroup65582_c5_g3	 Proteasome complex subunit Rpn13 ubiquitin receptor
isogroup65582_c7_g1	 Zinc ion binding
isogroup65582_c7_g4	 Pre-mRNA splicing factor PRP21 like protein
isogroup65582_c7_g6	 Zinc ion binding
isogroup65582_c7_g8	 RNA binding. It is involved in the biological process described with RNA processing
isogroup65582_c7_g9	 RNA binding. It is involved in the biological process described with RNA processing
isogroup65580_c0_g1	GID8 Glucose-induced degradation protein 8 homolog
isogroup65522_c0_g1	CDK7 RNA polymerase II CTD heptapeptide repeat kinase activity
isogroup65584_c0_g1	 protein import into mitochondrial intermembrane space
isogroup65539_c0_g1	 NAD(P)H oxidase activity
isogroup65539_c0_g2	 NAD(P)H oxidase activity
isogroup65531_c3_g2	 Gamma-glutamyltranspeptidase
isogroup65575_c0_g1	RTN4IP1 Reticulon 4 interacting protein 1
isogroup65538_c0_g1	eIF-4a Type III restriction enzyme, res subunit
isogroup65534_c0_g1	ASTE1 nuclease activity
isogroup65567_c0_g1	LRP6 lipoprotein receptor-related protein
isogroup65574_c0_g1	VMAC 
isogroup65530_c0_g1	 retrotransposable element Tf2 155 kDa protein type 1-like
isogroup65530_c0_g4	 retrotransposable element Tf2 155 kDa protein type 1-like
isogroup65530_c0_g5	 retrotransposable element Tf2 155 kDa protein type 1-like
isogroup65515_c0_g1	TRAF4 TNF receptor-associated factor 4
isogroup10918_c0_g1	PPP1R27 protein phosphatase inhibitor activity
isogroup10926_c0_g1	DENND5A protein tyrosine phosphatase activity
isogroup48185_c0_g2	pgbd4 Transposase IS4
isogroup48191_c0_g2	eIF-1A translation initiation factor activity
isogroup38754_c0_g1	 Heat shock chaperonin-binding motif.
isogroup38737_c0_g1	SUCLG1 succinate-CoA ligase (GDP-forming) activity
isogroup56081_c0_g1	CYP301A1 heme binding
isogroup56094_c0_g1	 Possible membrane-associated motif in LPS-induced tumor necrosis factor alpha factor (LITAF), also known as PIG7, and other animal proteins.
isogroup56074_c0_g1	NFKB1 nuclear factor
isogroup56080_c0_g1	 Belongs to the universal ribosomal protein uL22 family
isogroup56040_c0_g1	HELZ2 nuclear receptor transcription coactivator activity
isogroup56028_c0_g1	DCTD dCMP deaminase activity
isogroup56095_c0_g1	 imaginal disc-derived wing hair outgrowth
isogroup56064_c0_g1	 Domain involved in innate immunity and lipid metabolism.
isogroup56037_c0_g2	Cht5 Glyco_18
isogroup56073_c0_g1	SEC61G P-P-bond-hydrolysis-driven protein transmembrane transporter activity
isogroup56084_c0_g2	TRAF4 activation of NF-kappaB-inducing kinase activity
isogroup56026_c0_g1	Gdi Regulates the GDP GTP exchange reaction of most RAB proteins by inhibiting the dissociation of GDP from them, and the subsequent binding of GTP
isogroup56063_c1_g2	RPS3A 40s ribosomal protein
isogroup56085_c0_g1	 Kinesin light
isogroup56057_c0_g1	 procollagen-proline 3-dioxygenase activity
isogroup56014_c0_g1	 dGTPase activity
isogroup79950_c0_g1	MRPS18B ribosomal protein S18B
isogroup79909_c0_g1	 plexin domain-containing protein
isogroup79967_c0_g1	POLDIP3 mRNA-containing ribonucleoprotein complex export from nucleus
isogroup32314_c0_g1	HADH Hydroxyacyl-coenzyme A dehydrogenase
isogroup32395_c0_g1	FXN Frataxin-like domain
isogroup32336_c0_g1	TM9SF4 positive regulation of protein exit from endoplasmic reticulum
isogroup32362_c0_g1	 microtubule-based process
isogroup32363_c0_g1	C1orf50 identical protein binding
isogroup32316_c0_g1	SELENOK respiratory burst after phagocytosis
isogroup2031_c0_g1	SCPEP1 serine-type carboxypeptidase activity
isogroup2095_c0_g1	FANCL Fanconi anemia, complementation group L
isogroup2048_c0_g1	 unfolded protein binding. It is involved in the biological process described with protein folding
isogroup3469_c0_g1	FAM57A family with sequence similarity 57, member A
isogroup24775_c0_g1	 The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
isogroup24712_c0_g1	cta D5 dopamine receptor binding
isogroup24718_c0_g1	CWC22 CWC22 spliceosome associated protein homolog
isogroup24765_c0_g1	NDUFA4 NADH dehydrogenase ubiquinone 1 alpha subcomplex
isogroup24740_c0_g1	 negative regulation of vascular smooth muscle contraction
isogroup24776_c0_g1	USP24 ubiquitin-like protein-specific protease activity
isogroup7138_c0_g1	MARS2 methionyl-tRNA aminoacylation
isogroup7115_c0_g1	 Belongs to the short-chain dehydrogenases reductases (SDR) family
isogroup13913_c0_g1	 UBA-like domain
isogroup13920_c0_g1	 ATP synthesis coupled proton transport
isogroup6998_c0_g1	GstD1 glutathione s-transferase
isogroup6959_c0_g1	 alpha-1,3-glucosidase activity
isogroup30829_c0_g1	Rab3 evoked neurotransmitter secretion
isogroup30885_c0_g1	 SRP19 protein
isogroup30846_c0_g1	TXNL4B Thioredoxin-like protein 4B
isogroup30816_c0_g1	DNALI1 dynein heavy chain binding
isogroup30880_c0_g1	 gamma-butyrobetaine dioxygenase activity
isogroup30862_c0_g1	ABCC10 Multidrug resistance-associated protein
isogroup42493_c0_g1	 Ribosomal protein L17
isogroup42421_c0_g1	PSEN1 subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors
isogroup42445_c0_g1	RPS7 structural constituent of ribosome
isogroup42478_c0_g1	 MobA-like NTP transferase domain
isogroup42492_c0_g2	 cilium movement
isogroup42481_c0_g1	PDAP1 28 kDa heat- and acid-stable
isogroup42401_c0_g1	PCBP3 C-rich single-stranded DNA binding
isogroup42401_c0_g2	PCBP3 C-rich single-stranded DNA binding
isogroup42429_c0_g1	PDIA3 protein disulfide isomerase activity
isogroup42477_c0_g1	GPI glucose-6-phosphate isomerase activity
isogroup12628_c0_g1	 cellular response to calcium ion
isogroup12645_c0_g1	SPAG16 Sperm-associated antigen 16 protein
isogroup12687_c0_g1	LMLN regulation of choline O-acetyltransferase activity
isogroup12654_c0_g1	BZW2 nucleic acid-templated transcription
isogroup58122_c0_g2	PUF60 poly-U binding splicing factor
isogroup58147_c0_g1	COX5B mitochondrial ATP synthesis coupled proton transport
isogroup58124_c0_g1	PRUNE2 apoptotic process
isogroup58121_c0_g1	PCCB propionyl-CoA carboxylase activity
isogroup58198_c0_g1	bud31 BUD31 homolog
isogroup58163_c0_g1	SF3A3 Subtilase family
isogroup58163_c0_g2	SF3A3 Subtilase family
isogroup58178_c0_g1	NIPSNAP3A Nipsnap homolog
isogroup58139_c0_g3	 cell wall polysaccharide biosynthetic process
isogroup58182_c0_g2	KLF5 Krueppel-like factor 5
isogroup58162_c0_g1	PHGDH Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
isogroup58136_c1_g1	 It is involved in the biological process described with regulation of response to reactive oxygen species
isogroup58136_c1_g3	 It is involved in the biological process described with regulation of response to reactive oxygen species
isogroup58185_c0_g1	NHP2L1 NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
isogroup58194_c0_g2	 ARF-like small GTPases; ARF, ADP-ribosylation factor
isogroup58125_c0_g1	 peptidyl-threonine phosphorylation
isogroup58125_c1_g1	 peptidyl-threonine phosphorylation
isogroup58165_c0_g1	 Calponin family repeat
isogroup60695_c0_g1	LZIC beta-catenin binding
isogroup60638_c0_g1	C14orf169 Chromosome 14 open reading frame 169
isogroup60692_c0_g1	TIMM9 Translocase of inner mitochondrial membrane 9
isogroup60649_c0_g1	USP15 Belongs to the peptidase C19 family
isogroup60678_c0_g1	 IPT/TIG domain
isogroup60602_c0_g1	ACO1 iron-responsive element binding
isogroup60673_c0_g1	 calcium-dependent cysteine-type endopeptidase activity
isogroup60673_c0_g7	 calcium-dependent cysteine-type endopeptidase activity
isogroup60635_c1_g1	 K02A2.6-like
isogroup60614_c0_g1	MRPS14 ribosomal protein S14
isogroup60689_c0_g2	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup60696_c0_g1	STT3B co-translational protein modification
isogroup60632_c0_g1	TRAF3 thioesterase binding
isogroup60632_c0_g2	TRAF5 meprin and TRAF homology
isogroup60609_c0_g1	ATP6V0C V-type proton ATPase 16 kDa proteolipid
isogroup60690_c0_g1	 actin binding
isogroup60671_c0_g1	MYL6 Myosin, light
isogroup60619_c0_g2	 positive regulation of endothelial cell chemotaxis
isogroup60672_c0_g1	 NADH-ubiquinone oxidoreductase subunit 10
isogroup60660_c0_g1	ARL8B GTP binding
isogroup60681_c0_g1	 Belongs to the nucleosome assembly protein (NAP) family
isogroup60606_c0_g2	PIGQ phosphatidylinositol N-acetylglucosaminyltransferase activity
isogroup60634_c0_g1	 vacuolar proton-transporting V-type ATPase complex assembly
isogroup60670_c0_g1	 Belongs to the peptidase C19 family
isogroup60654_c0_g1	CTSB cysteine-type peptidase activity
isogroup23663_c0_g1	AP3D1 protein complex 3, delta 1 subunit
isogroup23668_c0_g1	NSF Vesicle-fusing ATPase
isogroup23656_c0_g1	RPL17 structural constituent of ribosome
isogroup23642_c0_g1	DENR translation reinitiation
isogroup23658_c0_g1	CYCS Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain
isogroup23673_c0_g1	TMC3 ion transport
isogroup23669_c0_g1	 Taurine catabolism dioxygenase TauD, TfdA family
isogroup23690_c0_g1	MOXD1 DBH-like monooxygenase protein 1
isogroup73699_c2_g1	CWC27 Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
isogroup73629_c6_g1	 Protein tyrosine kinase
isogroup73691_c3_g2	SREK1 serine arginine-rich splicing factor 11
isogroup73650_c0_g1	UROC1 urocanate hydratase activity
isogroup73650_c0_g6	UROC1 Urocanate hydratase
isogroup73617_c1_g1	 Saccharopine
isogroup73617_c1_g2	 Saccharopine
isogroup73617_c1_g3	 Saccharopine
isogroup73660_c0_g1	TADA3 transcriptional adaptor 3
isogroup73660_c0_g2	UBE3A Ubiquitin-protein ligase
isogroup73622_c0_g2	 response to cobalt ion
isogroup73600_c0_g2	PLRG1 positive regulation of G1/S transition of mitotic cell cycle
isogroup73682_c0_g1	ABCC10 ATP-binding cassette, subfamily C (CFTR MRP), member 10
isogroup73663_c0_g1	pgp-2 ATP-binding cassette, subfamily B (MDR TAP), member
isogroup73659_c11_g1	nahoda Possible catecholamine-binding domain present in a variety of eukaryotic proteins.
isogroup73696_c0_g1	SNW1 SNW domain containing 1
isogroup73630_c2_g1	ATP5G2 ATP hydrolysis coupled proton transport
isogroup73630_c3_g1	 Natural resistance-associated macrophage protein
isogroup73685_c4_g1	BCAS2 mRNA processing
isogroup73669_c0_g1	OSBP positive regulation of growth of symbiont in host
isogroup73628_c0_g1	ZCCHC7 zinc ion binding
isogroup73693_c5_g1	CHFR mitotic cell cycle checkpoint
isogroup73636_c7_g1	EVI5L regulation of vesicle fusion
isogroup73636_c8_g1	THOC7 mRNA-containing ribonucleoprotein complex export from nucleus
isogroup73671_c0_g1	RMDN1 cellular calcium ion homeostasis
isogroup73640_c0_g1	RADIL translation initiation factor activity
isogroup73654_c0_g2	PYCR1 pyrroline-5-carboxylate reductase activity
isogroup73647_c0_g1	JMJD6 peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine
isogroup73668_c3_g3	BCOR BCL6 corepressor
isogroup73651_c0_g1	USP14 Ubiquitin carboxyl-terminal hydrolase 14
isogroup73651_c0_g2	 Ubiquitin carboxyl-terminal hydrolase
isogroup73614_c0_g1	DHDH Dihydrodiol dehydrogenase (dimeric)
